平均心率,59
分类,窦性心律
0.026061,
0.028647,
0.031562,
0.034842,
0.038478,
0.042559,
0.047256,
0.052526,
0.058038,
0.063523,
0.068995,
0.074508,
0.079883,
0.084552,
0.088514,
0.091995,
0.095015,
0.097815,
0.100833,
0.104247,
0.107725,
0.11064,
0.112362,
0.112403,
0.110565,
0.107302,
0.103896,
0.101949,
0.102568,
0.105926,
0.111362,
0.117592,
0.122935,
0.125795,
0.125167,
0.120864,
0.113724,
0.105758,
0.099769,
0.098423,
0.103345,
0.114762,
0.131682,
0.152095,
0.173215,
0.192139,
0.206654,
0.215748,
0.219748,
0.220249,
0.219657,
0.220165,
0.222889,
0.228014,
0.235477,
0.245209,
0.256937,
0.270133,
0.284232,
0.298675,
0.312652,
0.325078,
0.334948,
0.341775,
0.345824,
0.347981,
0.349389,
0.351032,
0.353337,
0.355997,
0.358202,
0.359135,
0.358428,
0.356118,
0.352395,
0.347628,
0.342558,
0.338081,
0.334674,
0.332174,
0.330135,
0.328146,
0.325779,
0.322523,
0.317796,
0.310991,
0.301447,
0.288634,
0.272565,
0.254006,
0.234299,
0.214968,
0.197323,
0.18224,
0.169987,
0.159964,
0.150739,
0.140579,
0.128182,
0.113097,
0.095761,
0.077428,
0.059843,
0.044577,
0.032502,
0.023696,
0.017595,
0.013226,
0.009431,
0.005142,
-0.000364,
-0.007411,
-0.015977,
-0.025701,
-0.03592,
-0.045791,
-0.054402,
-0.060925,
-0.064977,
-0.066992,
-0.06811,
-0.069586,
-0.07235,
-0.076806,
-0.08265,
-0.088878,
-0.094227,
-0.097906,
-0.100038,
-0.101501,
-0.103474,
-0.107041,
-0.112693,
-0.119818,
-0.126804,
-0.131812,
-0.133568,
-0.131642,
-0.126466,
-0.119411,
-0.112563,
-0.107968,
-0.106895,
-0.109495,
-0.114787,
-0.120938,
-0.125934,
-0.12836,
-0.12771,
-0.124262,
-0.119,
-0.113613,
-0.110073,
-0.109831,
-0.113295,
-0.119815,
-0.127926,
-0.135683,
-0.14122,
-0.143371,
-0.141795,
-0.136696,
-0.128781,
-0.119407,
-0.110375,
-0.103413,
-0.099705,
-0.099727,
-0.103322,
-0.109787,
-0.118015,
-0.126713,
-0.134618,
-0.140678,
-0.144179,
-0.144778,
-0.142438,
-0.137334,
-0.129793,
-0.120143,
-0.108673,
-0.095927,
-0.08296,
-0.071145,
-0.061779,
-0.055849,
-0.053916,
-0.05597,
-0.061366,
-0.069042,
-0.077795,
-0.086367,
-0.09356,
-0.098619,
-0.101578,
-0.103012,
-0.103511,
-0.103536,
-0.103441,
-0.103183,
-0.102267,
-0.100182,
-0.096791,
-0.092126,
-0.086323,
-0.08001,
-0.074478,
-0.071119,
-0.070649,
-0.072972,
-0.077497,
-0.083124,
-0.088269,
-0.091509,
-0.092288,
-0.090902,
-0.087979,
-0.084252,
-0.080582,
-0.077638,
-0.075507,
-0.073754,
-0.071916,
-0.070362,
-0.069094,
-0.068,
-0.066873,
-0.065442,
-0.063405,
-0.060689,
-0.058153,
-0.056464,
-0.056681,
-0.059424,
-0.064691,
-0.071805,
-0.079476,
-0.086108,
-0.090407,
-0.091885,
-0.090868,
-0.088234,
-0.085144,
-0.082729,
-0.081614,
-0.081481,
-0.081295,
-0.080098,
-0.077411,
-0.073167,
-0.067759,
-0.062108,
-0.057404,
-0.054554,
-0.053775,
-0.054574,
-0.055794,
-0.055836,
-0.053333,
-0.047824,
-0.039846,
-0.030474,
-0.020962,
-0.012644,
-0.006768,
-0.004148,
-0.004994,
-0.008969,
-0.015366,
-0.023394,
-0.032349,
-0.041529,
-0.050103,
-0.0571,
-0.061556,
-0.062795,
-0.060783,
-0.056351,
-0.050905,
-0.045775,
-0.041875,
-0.039779,
-0.039699,
-0.041228,
-0.043355,
-0.045013,
-0.045643,
-0.045174,
-0.043738,
-0.041614,
-0.039225,
-0.036826,
-0.034115,
-0.030352,
-0.024976,
-0.018133,
-0.010569,
-0.003192,
0.003221,
0.008186,
0.011671,
0.014068,
0.015853,
0.017178,
0.017844,
0.01757,
0.016127,
0.013295,
0.008947,
0.003209,
-0.003473,
-0.010418,
-0.016867,
-0.022232,
-0.026313,
-0.02914,
-0.030584,
-0.030362,
-0.028303,
-0.024466,
-0.019163,
-0.012964,
-0.006732,
-0.001416,
0.002347,
0.004821,
0.006144,
0.006861,
0.007629,
0.009048,
0.011292,
0.013927,
0.016134,
0.017131,
0.016457,
0.014067,
0.01035,
0.00602,
0.001839,
-0.001574,
-0.003782,
-0.004697,
-0.004838,
-0.005193,
-0.006519,
-0.008848,
-0.011713,
-0.014496,
-0.016432,
-0.01676,
-0.015229,
-0.012314,
-0.008748,
-0.005099,
-0.001904,
0.000227,
0.001002,
0.000741,
0.000043,
-0.000669,
-0.001178,
-0.001216,
-0.000387,
0.001752,
0.005565,
0.011172,
0.018155,
0.025395,
0.031383,
0.034748,
0.034627,
0.030925,
0.024454,
0.016768,
0.009703,
0.004895,
0.003555,
0.006328,
0.013104,
0.023056,
0.03484,
0.046801,
0.057166,
0.064516,
0.068265,
0.068808,
0.067254,
0.064982,
0.063198,
0.062696,
0.063826,
0.066537,
0.070521,
0.075416,
0.080943,
0.086921,
0.093221,
0.099789,
0.106664,
0.113824,
0.12094,
0.127342,
0.132339,
0.135482,
0.136487,
0.135304,
0.132392,
0.12878,
0.125817,
0.124788,
0.126537,
0.131242,
0.138345,
0.146644,
0.154584,
0.160719,
0.164071,
0.164199,
0.161079,
0.154977,
0.146405,
0.13616,
0.125246,
0.114715,
0.105584,
0.098554,
0.093578,
0.089726,
0.08556,
0.079821,
0.072034,
0.062721,
0.053157,
0.044783,
0.038597,
0.034984,
0.033858,
0.034843,
0.037401,
0.041036,
0.045529,
0.050881,
0.056915,
0.063103,
0.068595,
0.072383,
0.073748,
0.072792,
0.070558,
0.068516,
0.06769,
0.068198,
0.069488,
0.070933,
0.072413,
0.074674,
0.07935,
0.088515,
0.103931,
0.126482,
0.156034,
0.191547,
0.231231,
0.272661,
0.313019,
0.349304,
0.378226,
0.396117,
0.476897,
0.47688,
0.435777,
0.311049,
0.255736,
0.195092,
0.134085,
0.07629,
0.023239,
-0.025325,
-0.070493,
-0.113131,
-0.153164,
-0.189406,
-0.219865,
-0.24227,
-0.254765,
-0.256532,
-0.247969,
-0.230417,
-0.205976,
-0.177501,
-0.148114,
-0.120302,
-0.095565,
-0.074711,
-0.058081,
-0.045519,
-0.036507,
-0.030572,
-0.02751,
-0.02714,
-0.028955,
-0.03201,
-0.035139,
-0.037174,
-0.037221,
-0.035058,
-0.031385,
-0.027563,
-0.024997,
-0.024507,
-0.026055,
-0.028885,
-0.031777,
-0.033275,
-0.032267,
-0.028759,
-0.02405,
-0.020111,
-0.018751,
-0.021083,
-0.02721,
-0.035959,
-0.0451,
-0.052208,
-0.055498,
-0.054109,
-0.048068,
-0.038346,
-0.026814,
-0.015581,
-0.006167,
0.00071,
0.004883,
0.006586,
0.006456,
0.005412,
0.004298,
0.003613,
0.003536,
0.003958,
0.004413,
0.004225,
0.00297,
0.000824,
-0.001612,
-0.003812,
-0.005569,
-0.006806,
-0.007385,
-0.00715,
-0.005867,
-0.003046,
0.002086,
0.010337,
0.022106,
0.037004,
0.053749,
0.070317,
0.084468,
0.09456,
0.100104,
0.101892,
